;Mid_UTC;O3;O3_unc;H_rel_TP
2023-09-09 18:10:11.800000+00:00;65411.8;60.5;1.27;NaN
2023-09-09 18:10:15.800000+00:00;65415.8;60.1;1.26;NaN
2023-09-09 18:10:19.800000+00:00;65419.8;59.8;1.26;NaN
2023-09-09 18:10:23.800000+00:00;65423.8;59.7;1.25;NaN
2023-09-09 18:10:27.800000+00:00;65427.8;59.5;1.25;NaN
2023-09-09 18:10:31.800000+00:00;65431.8;59.6;1.25;NaN
2023-09-09 18:10:35.800000+00:00;65435.8;60.4;1.27;NaN
2023-09-09 18:10:39.800000+00:00;65439.8;61.3;1.29;NaN
2023-09-09 18:10:43.800000+00:00;65443.8;60.7;1.28;NaN
2023-09-09 18:10:47.800000+00:00;65447.8;58.5;1.23;NaN
2023-09-09 18:10:51.800000+00:00;65451.8;56.9;1.19;NaN
2023-09-09 18:10:55.800000+00:00;65455.8;56.3;1.18;NaN
2023-09-09 18:10:59.800000+00:00;65459.8;56.1;1.18;NaN
2023-09-09 18:11:03.800000+00:00;65463.8;55.8;1.17;NaN
2023-09-09 18:11:07.800000+00:00;65467.8;55.3;1.16;NaN
2023-09-09 18:11:11.700000+00:00;65471.7;54.7;1.15;NaN
2023-09-09 18:11:15.800000+00:00;65475.8;53.9;1.13;NaN
2023-09-09 18:11:19.700000+00:00;65479.7;52.9;1.11;NaN
2023-09-09 18:11:23.700000+00:00;65483.7;52.6;1.1;NaN
2023-09-09 18:11:27.800000+00:00;65487.8;52.6;1.11;NaN
2023-09-09 18:11:31.800000+00:00;65491.8;52.4;1.1;NaN
2023-09-09 18:11:35.800000+00:00;65495.8;52.4;1.1;NaN
2023-09-09 18:11:39.800000+00:00;65499.8;52.7;1.11;NaN
2023-09-09 18:11:43.800000+00:00;65503.8;52.9;1.11;NaN
2023-09-09 18:11:47.800000+00:00;65507.8;53.4;1.12;NaN
2023-09-09 18:11:51.800000+00:00;65511.8;54.3;1.14;NaN
2023-09-09 18:11:55.800000+00:00;65515.8;54.8;1.15;NaN
2023-09-09 18:11:59.700000+00:00;65519.7;55.9;1.17;NaN
2023-09-09 18:12:03.700000+00:00;65523.7;58.0;1.22;NaN
2023-09-09 18:12:07.700000+00:00;65527.7;64.4;1.35;NaN
2023-09-09 18:12:11.700000+00:00;65531.7;74.3;1.56;NaN
2023-09-09 18:12:15.800000+00:00;65535.8;77.4;1.63;-1.241547264983226
2023-09-09 18:12:19.800000+00:00;65539.8;74.8;1.57;NaN
2023-09-09 18:12:23.800000+00:00;65543.8;72.9;1.53;NaN
2023-09-09 18:12:27.700000+00:00;65547.7;70.1;1.47;NaN
2023-09-09 18:12:31.700000+00:00;65551.7;64.4;1.35;NaN
2023-09-09 18:12:35.700000+00:00;65555.7;58.4;1.23;NaN
2023-09-09 18:12:39.700000+00:00;65559.7;54.9;1.15;NaN
2023-09-09 18:12:43.700000+00:00;65563.7;52.3;1.1;NaN
2023-09-09 18:12:47.700000+00:00;65567.7;49.3;1.04;NaN
2023-09-09 18:12:51.700000+00:00;65571.7;47.2;1.0;NaN
2023-09-09 18:12:55.700000+00:00;65575.7;45.5;1.0;NaN
2023-09-09 18:12:59.700000+00:00;65579.7;44.5;1.0;NaN
2023-09-09 18:13:03.700000+00:00;65583.7;44.4;1.0;NaN
2023-09-09 18:13:07.700000+00:00;65587.7;44.3;1.0;NaN
2023-09-09 18:13:11.700000+00:00;65591.7;44.2;1.0;NaN
2023-09-09 18:13:15.700000+00:00;65595.7;44.6;1.0;NaN
2023-09-09 18:13:19.700000+00:00;65599.7;45.4;1.0;NaN
2023-09-09 18:13:23.700000+00:00;65603.7;45.7;1.0;NaN
2023-09-09 18:13:27.700000+00:00;65607.7;45.3;1.0;NaN
2023-09-09 18:13:31.700000+00:00;65611.7;45.4;1.0;NaN
2023-09-09 18:13:35.700000+00:00;65615.7;46.0;1.0;NaN
2023-09-09 18:13:39.700000+00:00;65619.7;46.5;1.0;NaN
2023-09-09 18:13:43.700000+00:00;65623.7;46.1;1.0;NaN
2023-09-09 18:13:47.700000+00:00;65627.7;46.8;1.0;NaN
2023-09-09 18:13:51.700000+00:00;65631.7;53.2;1.12;NaN
2023-09-09 18:13:55.700000+00:00;65635.7;65.2;1.37;NaN
2023-09-09 18:13:59.700000+00:00;65639.7;75.0;1.58;NaN
2023-09-09 18:14:03.700000+00:00;65643.7;76.8;1.61;-1.3191691474212706
2023-09-09 18:14:07.700000+00:00;65647.7;74.7;1.57;NaN
2023-09-09 18:14:11.700000+00:00;65651.7;75.3;1.58;NaN
2023-09-09 18:14:15.700000+00:00;65655.7;77.2;1.62;-1.2674212257959074
2023-09-09 18:14:19.700000+00:00;65659.7;80.0;1.68;-1.0948142255816289
2023-09-09 18:14:23.700000+00:00;65663.7;83.5;1.75;-0.8305494292951439
2023-09-09 18:14:27.700000+00:00;65667.7;86.7;1.82;-0.7024474847147539
2023-09-09 18:14:31.700000+00:00;65671.7;88.5;1.86;-0.6303901408882846
2023-09-09 18:14:35.700000+00:00;65675.7;90.7;1.91;-0.5581472282888766
2023-09-09 18:14:39.700000+00:00;65679.7;94.0;1.98;-0.46229128103614847
2023-09-09 18:14:43.700000+00:00;65683.7;94.0;1.98;-0.46229128103614847
2023-09-09 18:14:47.700000+00:00;65687.7;94.0;1.97;-0.46229128103614847
2023-09-09 18:14:51.700000+00:00;65691.7;101.1;2.12;-0.3439442418409336
2023-09-09 18:14:55.700000+00:00;65695.7;107.2;2.25;-0.16080825665485796
2023-09-09 18:14:59.700000+00:00;65699.7;110.3;2.32;-0.10412853614791143
2023-09-09 18:15:03.700000+00:00;65703.7;117.1;2.46;-0.020201173351197286
2023-09-09 18:15:07.700000+00:00;65707.7;123.0;2.58;0.07202085265817304
2023-09-09 18:15:11.700000+00:00;65711.7;129.0;2.71;0.13371010726324772
2023-09-09 18:15:15.700000+00:00;65715.7;152.1;3.2;0.37028705394781125
2023-09-09 18:15:19.700000+00:00;65719.7;186.8;3.92;0.7313334985047881
2023-09-09 18:15:23.700000+00:00;65723.7;201.4;4.23;0.8902858566069418
2023-09-09 18:15:27.700000+00:00;65727.7;198.5;4.17;0.8587131279428153
2023-09-09 18:15:31.700000+00:00;65731.7;202.4;4.25;0.9011730044221578
2023-09-09 18:15:35.700000+00:00;65735.7;207.4;4.36;0.9556087434982379
2023-09-09 18:15:39.700000+00:00;65739.7;209.0;4.39;0.9730281800025834
2023-09-09 18:15:43.700000+00:00;65743.7;213.9;4.49;0.9736247957028581
2023-09-09 18:15:47.700000+00:00;65747.7;219.8;4.62;1.1564338921174564
2023-09-09 18:15:51.700000+00:00;65751.7;224.3;4.71;1.2410171370803955
