;Mid_UTC;O3;O3_unc;H_rel_TP
2023-08-26 18:05:30.100000+00:00;65130.1;46.8;1.0;NaN
2023-08-26 18:05:34.100000+00:00;65134.1;47.2;1.0;NaN
2023-08-26 18:05:38.100000+00:00;65138.1;46.4;1.0;NaN
2023-08-26 18:05:42.100000+00:00;65142.1;46.1;1.0;NaN
2023-08-26 18:05:46.100000+00:00;65146.1;45.1;1.0;NaN
2023-08-26 18:05:50.100000+00:00;65150.1;43.8;1.0;NaN
2023-08-26 18:05:54.100000+00:00;65154.1;43.3;1.0;NaN
2023-08-26 18:05:58.100000+00:00;65158.1;43.7;1.0;NaN
2023-08-26 18:06:02.100000+00:00;65162.1;44.7;1.0;NaN
2023-08-26 18:06:06.100000+00:00;65166.1;45.2;1.0;NaN
2023-08-26 18:06:10.100000+00:00;65170.1;45.4;1.0;NaN
2023-08-26 18:06:14.100000+00:00;65174.1;46.4;1.0;NaN
2023-08-26 18:06:18.100000+00:00;65178.1;46.4;1.0;NaN
2023-08-26 18:06:22.100000+00:00;65182.1;44.5;1.0;NaN
2023-08-26 18:06:26.100000+00:00;65186.1;43.7;1.0;NaN
2023-08-26 18:06:30.100000+00:00;65190.1;45.9;1.0;NaN
2023-08-26 18:06:34.100000+00:00;65194.1;48.1;1.01;NaN
2023-08-26 18:06:38.100000+00:00;65198.1;48.4;1.02;NaN
2023-08-26 18:06:42.100000+00:00;65202.1;48.0;1.01;NaN
2023-08-26 18:06:46.100000+00:00;65206.1;47.9;1.01;NaN
2023-08-26 18:06:50.100000+00:00;65210.1;48.0;1.01;NaN
2023-08-26 18:06:54.100000+00:00;65214.1;48.5;1.02;NaN
2023-08-26 18:06:58.100000+00:00;65218.1;49.8;1.05;NaN
2023-08-26 18:07:02.100000+00:00;65222.1;49.9;1.05;NaN
2023-08-26 18:07:06.100000+00:00;65226.1;48.3;1.01;NaN
2023-08-26 18:07:10.100000+00:00;65230.1;48.3;1.02;NaN
2023-08-26 18:07:14.100000+00:00;65234.1;49.3;1.03;NaN
2023-08-26 18:07:18.100000+00:00;65238.1;49.9;1.05;NaN
2023-08-26 18:07:22.100000+00:00;65242.1;49.6;1.04;NaN
2023-08-26 18:07:26.100000+00:00;65246.1;48.1;1.01;NaN
2023-08-26 18:07:30.100000+00:00;65250.1;46.8;1.0;NaN
2023-08-26 18:07:34.100000+00:00;65254.1;46.6;1.0;NaN
2023-08-26 18:07:38.100000+00:00;65258.1;46.8;1.0;NaN
2023-08-26 18:07:42.100000+00:00;65262.1;47.0;1.0;NaN
2023-08-26 18:07:46.100000+00:00;65266.1;48.8;1.02;NaN
2023-08-26 18:07:50.100000+00:00;65270.1;51.8;1.09;NaN
2023-08-26 18:07:54.100000+00:00;65274.1;52.2;1.1;NaN
2023-08-26 18:07:58.100000+00:00;65278.1;49.9;1.05;NaN
2023-08-26 18:08:02.100000+00:00;65282.1;47.0;1.0;NaN
2023-08-26 18:08:06.100000+00:00;65286.1;46.4;1.0;NaN
2023-08-26 18:08:10.100000+00:00;65290.1;49.8;1.04;NaN
2023-08-26 18:08:14.100000+00:00;65294.1;52.6;1.11;NaN
2023-08-26 18:08:18.100000+00:00;65298.1;52.1;1.09;NaN
2023-08-26 18:08:22.100000+00:00;65302.1;50.0;1.05;NaN
2023-08-26 18:08:26.100000+00:00;65306.1;49.6;1.04;NaN
2023-08-26 18:08:30.100000+00:00;65310.1;51.1;1.07;NaN
2023-08-26 18:08:34.100000+00:00;65314.1;52.5;1.1;NaN
2023-08-26 18:08:38.100000+00:00;65318.1;55.4;1.16;NaN
2023-08-26 18:08:42.100000+00:00;65322.1;57.2;1.2;NaN
2023-08-26 18:08:46.100000+00:00;65326.1;56.7;1.19;NaN
2023-08-26 18:08:50.100000+00:00;65330.1;56.6;1.19;NaN
2023-08-26 18:08:54.100000+00:00;65334.1;56.6;1.19;NaN
2023-08-26 18:08:58.100000+00:00;65338.1;57.0;1.2;NaN
2023-08-26 18:09:02.100000+00:00;65342.1;58.0;1.22;NaN
2023-08-26 18:09:06.100000+00:00;65346.1;57.8;1.21;NaN
2023-08-26 18:09:10.100000+00:00;65350.1;56.4;1.18;NaN
2023-08-26 18:09:14.100000+00:00;65354.1;54.6;1.15;NaN
2023-08-26 18:09:18.100000+00:00;65358.1;52.5;1.1;NaN
2023-08-26 18:09:22.100000+00:00;65362.1;51.5;1.08;NaN
2023-08-26 18:09:26.100000+00:00;65366.1;52.9;1.11;NaN
2023-08-26 18:09:30.100000+00:00;65370.1;55.2;1.16;NaN
2023-08-26 18:09:34.100000+00:00;65374.1;56.1;1.18;NaN
2023-08-26 18:09:38.100000+00:00;65378.1;55.1;1.16;NaN
2023-08-26 18:09:42.100000+00:00;65382.1;54.1;1.14;NaN
2023-08-26 18:09:46.100000+00:00;65386.1;53.1;1.11;NaN
