;Mid_UTC;O3;O3_unc;H_rel_TP
2023-09-01 01:12:54.600000+00:00;90774.6;34.7;1.0;NaN
2023-09-01 01:12:58.600000+00:00;90778.6;34.8;1.0;NaN
2023-09-01 01:13:02.600000+00:00;90782.6;34.6;1.0;NaN
2023-09-01 01:13:06.600000+00:00;90786.6;34.5;1.0;NaN
2023-09-01 01:13:10.600000+00:00;90790.6;34.6;1.0;NaN
2023-09-01 01:13:14.600000+00:00;90794.6;34.6;1.0;NaN
2023-09-01 01:13:18.600000+00:00;90798.6;34.6;1.0;NaN
2023-09-01 01:13:22.600000+00:00;90802.6;34.6;1.0;NaN
2023-09-01 01:13:26.600000+00:00;90806.6;34.6;1.0;NaN
2023-09-01 01:13:30.600000+00:00;90810.6;34.4;1.0;NaN
2023-09-01 01:13:34.600000+00:00;90814.6;35.2;1.0;NaN
2023-09-01 01:13:38.600000+00:00;90818.6;36.8;1.0;NaN
2023-09-01 01:13:42.600000+00:00;90822.6;38.4;1.0;NaN
2023-09-01 01:13:46.600000+00:00;90826.6;40.2;1.0;NaN
2023-09-01 01:13:50.600000+00:00;90830.6;41.7;1.0;NaN
2023-09-01 01:13:54.600000+00:00;90834.6;45.1;1.0;NaN
2023-09-01 01:13:58.600000+00:00;90838.6;50.1;1.05;NaN
2023-09-01 01:14:02.600000+00:00;90842.6;49.8;1.05;NaN
2023-09-01 01:14:06.600000+00:00;90846.6;47.5;1.0;NaN
2023-09-01 01:14:10.600000+00:00;90850.6;47.7;1.0;NaN
2023-09-01 01:14:14.600000+00:00;90854.6;48.5;1.02;NaN
2023-09-01 01:14:18.600000+00:00;90858.6;48.9;1.03;NaN
2023-09-01 01:14:22.600000+00:00;90862.6;48.9;1.03;NaN
2023-09-01 01:14:26.600000+00:00;90866.6;46.1;1.0;NaN
2023-09-01 01:14:30.600000+00:00;90870.6;42.1;1.0;NaN
2023-09-01 01:14:34.600000+00:00;90874.6;43.1;1.0;NaN
2023-09-01 01:14:38.600000+00:00;90878.6;47.4;1.0;NaN
2023-09-01 01:14:42.600000+00:00;90882.6;49.0;1.03;NaN
2023-09-01 01:14:46.600000+00:00;90886.6;51.5;1.08;NaN
2023-09-01 01:14:50.600000+00:00;90890.6;55.5;1.17;NaN
2023-09-01 01:14:54.600000+00:00;90894.6;54.5;1.14;NaN
2023-09-01 01:14:58.600000+00:00;90898.6;50.5;1.06;NaN
2023-09-01 01:15:02.600000+00:00;90902.6;49.1;1.03;NaN
2023-09-01 01:15:06.600000+00:00;90906.6;49.0;1.03;NaN
2023-09-01 01:15:10.600000+00:00;90910.6;48.4;1.02;NaN
2023-09-01 01:15:14.600000+00:00;90914.6;48.4;1.02;NaN
2023-09-01 01:15:18.600000+00:00;90918.6;49.9;1.05;NaN
2023-09-01 01:15:22.600000+00:00;90922.6;51.7;1.08;NaN
2023-09-01 01:15:26.600000+00:00;90926.6;53.4;1.12;NaN
2023-09-01 01:15:30.600000+00:00;90930.6;54.4;1.14;NaN
2023-09-01 01:15:34.600000+00:00;90934.6;52.5;1.1;NaN
2023-09-01 01:15:38.600000+00:00;90938.6;50.2;1.05;NaN
2023-09-01 01:15:42.600000+00:00;90942.6;51.2;1.08;NaN
2023-09-01 01:15:46.600000+00:00;90946.6;53.3;1.12;NaN
