;Mid_UTC;O3;O3_unc;H_rel_TP
2023-08-31 16:11:37.900000+00:00;58297.9;43.6;1.0;NaN
2023-08-31 16:11:41.900000+00:00;58301.9;43.8;1.0;NaN
2023-08-31 16:11:45.900000+00:00;58305.9;44.1;1.0;NaN
2023-08-31 16:11:49.900000+00:00;58309.9;44.3;1.0;NaN
2023-08-31 16:11:53.900000+00:00;58313.9;44.4;1.0;NaN
2023-08-31 16:11:57.900000+00:00;58317.9;44.5;1.0;NaN
2023-08-31 16:12:01.900000+00:00;58321.9;44.8;1.0;NaN
2023-08-31 16:12:05.900000+00:00;58325.9;45.9;1.0;NaN
2023-08-31 16:12:09.900000+00:00;58329.9;47.9;1.01;NaN
2023-08-31 16:12:13.900000+00:00;58333.9;49.4;1.04;NaN
2023-08-31 16:12:17.900000+00:00;58337.9;49.9;1.05;NaN
2023-08-31 16:12:21.900000+00:00;58341.9;49.6;1.04;NaN
2023-08-31 16:12:25.900000+00:00;58345.9;49.0;1.03;NaN
2023-08-31 16:12:29.900000+00:00;58349.9;48.4;1.02;NaN
2023-08-31 16:12:33.900000+00:00;58353.9;48.1;1.01;NaN
2023-08-31 16:12:37.900000+00:00;58357.9;47.7;1.0;NaN
2023-08-31 16:12:41.900000+00:00;58361.9;47.2;1.0;NaN
2023-08-31 16:12:46+00:00;58366.0;47.3;1.0;NaN
2023-08-31 16:12:49.900000+00:00;58369.9;47.6;1.0;NaN
2023-08-31 16:12:53.900000+00:00;58373.9;49.1;1.03;NaN
2023-08-31 16:12:57.900000+00:00;58377.9;51.2;1.08;NaN
2023-08-31 16:13:01.900000+00:00;58381.9;51.8;1.09;NaN
2023-08-31 16:13:05.900000+00:00;58385.9;51.3;1.08;NaN
2023-08-31 16:13:09.900000+00:00;58389.9;51.2;1.07;NaN
2023-08-31 16:13:13.900000+00:00;58393.9;51.2;1.08;NaN
2023-08-31 16:13:17.900000+00:00;58397.9;49.6;1.04;NaN
2023-08-31 16:13:21.900000+00:00;58401.9;45.2;1.0;NaN
2023-08-31 16:13:25.900000+00:00;58405.9;40.9;1.0;NaN
2023-08-31 16:13:29.900000+00:00;58409.9;40.3;1.0;NaN
2023-08-31 16:13:33.900000+00:00;58413.9;41.7;1.0;NaN
2023-08-31 16:13:37.900000+00:00;58417.9;41.3;1.0;NaN
2023-08-31 16:13:41.900000+00:00;58421.9;39.9;1.0;NaN
2023-08-31 16:13:45.900000+00:00;58425.9;39.4;1.0;NaN
2023-08-31 16:13:49.900000+00:00;58429.9;39.8;1.0;NaN
2023-08-31 16:13:53.900000+00:00;58433.9;40.0;1.0;NaN
2023-08-31 16:13:57.900000+00:00;58437.9;39.4;1.0;NaN
2023-08-31 16:14:01.900000+00:00;58441.9;38.6;1.0;NaN
2023-08-31 16:14:05.900000+00:00;58445.9;37.9;1.0;NaN
2023-08-31 16:14:09.900000+00:00;58449.9;37.2;1.0;NaN
2023-08-31 16:14:13.900000+00:00;58453.9;37.0;1.0;NaN
2023-08-31 16:14:17.900000+00:00;58457.9;36.5;1.0;NaN
2023-08-31 16:14:21.900000+00:00;58461.9;35.7;1.0;NaN
2023-08-31 16:14:25.900000+00:00;58465.9;35.5;1.0;NaN
2023-08-31 16:14:29.900000+00:00;58469.9;35.6;1.0;NaN
2023-08-31 16:14:33.900000+00:00;58473.9;35.7;1.0;NaN
2023-08-31 16:14:37.900000+00:00;58477.9;36.3;1.0;NaN
2023-08-31 16:14:41.900000+00:00;58481.9;37.4;1.0;NaN
2023-08-31 16:14:45.900000+00:00;58485.9;38.4;1.0;NaN
2023-08-31 16:14:49.900000+00:00;58489.9;39.3;1.0;NaN
2023-08-31 16:14:53.900000+00:00;58493.9;39.5;1.0;NaN
2023-08-31 16:14:57.900000+00:00;58497.9;38.3;1.0;NaN
2023-08-31 16:15:01.900000+00:00;58501.9;37.2;1.0;NaN
2023-08-31 16:15:05.900000+00:00;58505.9;36.9;1.0;NaN
2023-08-31 16:15:09.900000+00:00;58509.9;37.1;1.0;NaN
2023-08-31 16:15:13.900000+00:00;58513.9;37.3;1.0;NaN
2023-08-31 16:15:17.900000+00:00;58517.9;37.1;1.0;NaN
2023-08-31 16:15:21.900000+00:00;58521.9;36.8;1.0;NaN
2023-08-31 16:15:25.900000+00:00;58525.9;36.7;1.0;NaN
2023-08-31 16:15:29.900000+00:00;58529.9;36.9;1.0;NaN
