;Mid_UTC;O3;O3_unc;H_rel_TP
2023-08-16 07:04:12.100000+00:00;25452.1;76.8;1.61;NaN
2023-08-16 07:04:16.100000+00:00;25456.1;77.1;1.62;NaN
2023-08-16 07:04:20.100000+00:00;25460.1;76.8;1.61;NaN
2023-08-16 07:04:24.100000+00:00;25464.1;76.3;1.6;NaN
2023-08-16 07:04:28.100000+00:00;25468.1;75.7;1.59;NaN
2023-08-16 07:04:32.100000+00:00;25472.1;75.7;1.59;NaN
2023-08-16 07:04:36.100000+00:00;25476.1;76.8;1.61;NaN
2023-08-16 07:04:40.100000+00:00;25480.1;77.6;1.63;NaN
2023-08-16 07:04:44.100000+00:00;25484.1;77.9;1.64;NaN
2023-08-16 07:04:48.100000+00:00;25488.1;77.8;1.63;NaN
2023-08-16 07:04:52.100000+00:00;25492.1;77.7;1.63;NaN
2023-08-16 07:04:56.100000+00:00;25496.1;77.8;1.63;NaN
2023-08-16 07:05:00.100000+00:00;25500.1;77.1;1.62;NaN
2023-08-16 07:05:04.100000+00:00;25504.1;76.3;1.6;NaN
2023-08-16 07:05:08.100000+00:00;25508.1;76.3;1.6;NaN
2023-08-16 07:05:12.100000+00:00;25512.1;76.5;1.61;NaN
2023-08-16 07:05:16.100000+00:00;25516.1;76.1;1.6;NaN
2023-08-16 07:05:20.100000+00:00;25520.1;75.0;1.58;NaN
2023-08-16 07:05:24.100000+00:00;25524.1;73.6;1.54;NaN
2023-08-16 07:05:28.100000+00:00;25528.1;73.0;1.53;NaN
2023-08-16 07:05:32.100000+00:00;25532.1;72.8;1.53;NaN
2023-08-16 07:05:36.100000+00:00;25536.1;72.7;1.53;NaN
2023-08-16 07:05:40.100000+00:00;25540.1;73.5;1.54;NaN
2023-08-16 07:05:44.100000+00:00;25544.1;75.2;1.58;NaN
2023-08-16 07:05:48.100000+00:00;25548.1;76.0;1.6;NaN
2023-08-16 07:05:52.100000+00:00;25552.1;76.4;1.61;NaN
2023-08-16 07:05:56.100000+00:00;25556.1;77.6;1.63;NaN
2023-08-16 07:06:00.100000+00:00;25560.1;78.5;1.65;NaN
2023-08-16 07:06:04.100000+00:00;25564.1;78.6;1.65;NaN
2023-08-16 07:06:08.100000+00:00;25568.1;78.6;1.65;NaN
2023-08-16 07:06:12.100000+00:00;25572.1;79.1;1.66;NaN
2023-08-16 07:06:16.100000+00:00;25576.1;79.7;1.67;NaN
2023-08-16 07:06:20.100000+00:00;25580.1;80.1;1.68;NaN
2023-08-16 07:06:24.100000+00:00;25584.1;80.5;1.69;NaN
2023-08-16 07:06:28.100000+00:00;25588.1;82.5;1.73;NaN
2023-08-16 07:06:32.100000+00:00;25592.1;85.6;1.8;-1.2948617007072525
2023-08-16 07:06:36.100000+00:00;25596.1;86.8;1.82;-1.1426069380270638
2023-08-16 07:06:40.100000+00:00;25600.1;86.5;1.82;-1.1806706286971105
2023-08-16 07:06:44.100000+00:00;25604.1;86.6;1.82;-1.1679827318070957
2023-08-16 07:06:48.100000+00:00;25608.1;88.3;1.85;-1.0477115153231715
2023-08-16 07:06:52.100000+00:00;25612.1;91.4;1.92;-0.8569258076083431
2023-08-16 07:06:56.100000+00:00;25616.1;94.6;1.99;-0.7252134366972856
2023-08-16 07:07:00.100000+00:00;25620.1;95.9;2.01;-0.6717052860146678
2023-08-16 07:07:04.100000+00:00;25624.1;95.8;2.01;-0.6758212976056387
2023-08-16 07:07:08.100000+00:00;25628.1;95.8;2.01;-0.6758212976056387
2023-08-16 07:07:12.100000+00:00;25632.1;96.2;2.02;-0.6593572512417563
2023-08-16 07:07:16.100000+00:00;25636.1;95.0;1.99;-0.7087493903334031
2023-08-16 07:07:20.100000+00:00;25640.1;92.0;1.93;-0.83222973806252
2023-08-16 07:07:24.100000+00:00;25644.1;88.5;1.86;-1.0730873091032034
2023-08-16 07:07:28.100000+00:00;25648.1;83.9;1.76;NaN
2023-08-16 07:07:32.100000+00:00;25652.1;82.2;1.73;NaN
2023-08-16 07:07:36.100000+00:00;25656.1;87.5;1.84;-1.0537916597969537
2023-08-16 07:07:40.100000+00:00;25660.1;94.7;1.99;-0.7210974251063147
2023-08-16 07:07:44.100000+00:00;25664.1;96.9;2.04;-0.6305451701049622
2023-08-16 07:07:48.100000+00:00;25668.1;93.5;1.96;-0.7704895641979616
2023-08-16 07:07:52.100000+00:00;25672.1;84.5;1.77;-1.4344285664974246
2023-08-16 07:07:56.100000+00:00;25676.1;76.1;1.6;NaN
2023-08-16 07:08:00.100000+00:00;25680.1;74.9;1.57;NaN
2023-08-16 07:08:04.100000+00:00;25684.1;75.7;1.59;NaN
2023-08-16 07:08:08.100000+00:00;25688.1;76.9;1.61;NaN
2023-08-16 07:08:12.100000+00:00;25692.1;80.5;1.69;NaN
2023-08-16 07:08:16.100000+00:00;25696.1;83.4;1.75;NaN
2023-08-16 07:08:20.100000+00:00;25700.1;83.6;1.76;NaN
2023-08-16 07:08:24.100000+00:00;25704.1;81.4;1.71;NaN
2023-08-16 07:08:28.100000+00:00;25708.1;77.5;1.63;NaN
2023-08-16 07:08:32.100000+00:00;25712.1;75.4;1.58;NaN
2023-08-16 07:08:36.100000+00:00;25716.1;75.1;1.58;NaN
2023-08-16 07:08:40.100000+00:00;25720.1;74.6;1.57;NaN
2023-08-16 07:08:44.100000+00:00;25724.1;75.1;1.58;NaN
2023-08-16 07:08:48.100000+00:00;25728.1;77.2;1.62;NaN
2023-08-16 07:08:52.100000+00:00;25732.1;78.4;1.65;NaN
2023-08-16 07:08:56.100000+00:00;25736.1;77.8;1.63;NaN
2023-08-16 07:09:00.100000+00:00;25740.1;77.8;1.63;NaN
2023-08-16 07:09:04.100000+00:00;25744.1;79.0;1.66;NaN
2023-08-16 07:09:08.100000+00:00;25748.1;80.0;1.68;NaN
2023-08-16 07:09:12.100000+00:00;25752.1;79.9;1.68;NaN
2023-08-16 07:09:16.100000+00:00;25756.1;78.5;1.65;NaN
2023-08-16 07:09:20.100000+00:00;25760.1;76.1;1.6;NaN
2023-08-16 07:09:24.100000+00:00;25764.1;75.3;1.58;NaN
2023-08-16 07:09:28.100000+00:00;25768.1;79.9;1.68;NaN
2023-08-16 07:09:32.100000+00:00;25772.1;89.0;1.87;-0.9557100857916369
2023-08-16 07:09:36.100000+00:00;25776.1;96.6;2.03;-0.6428932048778744
2023-08-16 07:09:40.100000+00:00;25780.1;99.8;2.09;-0.537722285482318
2023-08-16 07:09:44.100000+00:00;25784.1;101.1;2.12;-0.500203746619477
2023-08-16 07:09:48.100000+00:00;25788.1;101.6;2.13;-0.48577353936453804
2023-08-16 07:09:52.100000+00:00;25792.1;100.8;2.12;-0.5088618709724403
2023-08-16 07:09:56.100000+00:00;25796.1;99.5;2.09;-0.5463804098352814
