;Mid_UTC;O3;O3_unc;H_rel_TP
2023-09-10 20:03:09.800000+00:00;72189.8;38.6;1.0;NaN
2023-09-10 20:03:13.800000+00:00;72193.8;38.5;1.0;NaN
2023-09-10 20:03:17.800000+00:00;72197.8;37.5;1.0;NaN
2023-09-10 20:03:21.800000+00:00;72201.8;36.6;1.0;NaN
2023-09-10 20:03:25.800000+00:00;72205.8;36.4;1.0;NaN
2023-09-10 20:03:29.800000+00:00;72209.8;37.0;1.0;NaN
2023-09-10 20:03:33.800000+00:00;72213.8;38.4;1.0;NaN
2023-09-10 20:03:37.800000+00:00;72217.8;39.9;1.0;NaN
2023-09-10 20:03:41.800000+00:00;72221.8;40.4;1.0;NaN
2023-09-10 20:03:45.800000+00:00;72225.8;39.7;1.0;NaN
2023-09-10 20:03:49.800000+00:00;72229.8;39.0;1.0;NaN
2023-09-10 20:03:53.800000+00:00;72233.8;38.7;1.0;NaN
2023-09-10 20:03:57.800000+00:00;72237.8;38.7;1.0;NaN
2023-09-10 20:04:01.800000+00:00;72241.8;39.4;1.0;NaN
2023-09-10 20:04:05.800000+00:00;72245.8;41.2;1.0;NaN
2023-09-10 20:04:09.800000+00:00;72249.8;42.3;1.0;NaN
2023-09-10 20:04:13.800000+00:00;72253.8;42.3;1.0;NaN
2023-09-10 20:04:17.800000+00:00;72257.8;42.1;1.0;NaN
2023-09-10 20:04:21.800000+00:00;72261.8;42.1;1.0;NaN
2023-09-10 20:04:25.800000+00:00;72265.8;42.4;1.0;NaN
2023-09-10 20:04:29.800000+00:00;72269.8;42.7;1.0;NaN
2023-09-10 20:04:33.800000+00:00;72273.8;42.5;1.0;NaN
2023-09-10 20:04:37.800000+00:00;72277.8;42.2;1.0;NaN
2023-09-10 20:04:41.800000+00:00;72281.8;41.6;1.0;NaN
2023-09-10 20:04:45.800000+00:00;72285.8;40.7;1.0;NaN
2023-09-10 20:04:49.800000+00:00;72289.8;40.2;1.0;NaN
2023-09-10 20:04:53.800000+00:00;72293.8;40.6;1.0;NaN
2023-09-10 20:04:57.800000+00:00;72297.8;41.8;1.0;NaN
2023-09-10 20:05:01.800000+00:00;72301.8;43.3;1.0;NaN
2023-09-10 20:05:05.800000+00:00;72305.8;44.6;1.0;NaN
2023-09-10 20:05:09.800000+00:00;72309.8;44.4;1.0;NaN
2023-09-10 20:05:13.800000+00:00;72313.8;43.5;1.0;NaN
2023-09-10 20:05:17.800000+00:00;72317.8;43.2;1.0;NaN
2023-09-10 20:05:21.800000+00:00;72321.8;43.2;1.0;NaN
2023-09-10 20:05:25.800000+00:00;72325.8;43.5;1.0;NaN
2023-09-10 20:05:29.800000+00:00;72329.8;43.6;1.0;NaN
