col_name,long_name,short_name,unit,ID,source,model,function
int_CARIBIC2_CO,CO integrated over flask sampling time from 1s resolution measurements,co,ppb,INTtpc,Caribic,MSMT,h
int_CARIBIC2_CO2,Carbon dioxide dry air mole fraction from Picarro instrument integrated over sampling interval,co2,ppm,INTtpc,Caribic,MSMT,h
int_CARIBIC2_H2Ogas,Water vapour integrated over flask sampling time from high resolution measurements,h2o,ppm,INTtpc,Caribic,MSMT,
int_CARIBIC2_NO,NO integrated over flask sampling time from 10s averages,no,ppb,INTtpc,Caribic,MSMT,
int_CARIBIC2_NOy,NOy integrated over flask sampling time from 10s averages,noy,ppb,INTtpc,Caribic,MSMT,
int_CARIBIC2_Ozone,Ozone integrated over flask sampling time from high resolution measurements,o3,ppb,INTtpc,Caribic,MSMT,
CARIBIC2_Ozone,Ozone volume mixing ratio,o3,ppb,CARIBIC,Caribic,MSMT,
CLaMS_N2O_ppb,Nitrous Oxide from CLaMS,n2o,ppb,CLAMS,CLAMS,CLAMS,s
ERA5_O3,Ozone from ERA5,o3,mol mol-1,ERA5,ERA5,ERA5,
ESMVal_N2O,Nitrous oxide from ESM Validation Campaign,n2o,ppb,MSTM,MSTM,MSTM,s
ATom_N2O_GMI,,n2o,ppbv,ATOM,ATOM,MSTM,s
ATom_N2O_PECD,,n2o,ppb,ATOM,ATOM,MSTM,s
ATom_N2Oe_PECD,,d_n2o,ppb,ATOM,ATOM,MSTM,
ATom_N2O_QCLS,Dry air molar mixing ratio ,n2o,ppb,ATOM,ATOM,MSTM,s
ATom_N2O_QCLS_adj,,n2o,ppb,ATOM,ATOM,MSTM,s
ATom_N2O_UCATS,,n2o,ppb,ATOM,ATOM,MSTM,s
ATom_N2Oe_UCATS,,d_n2o,ppb,ATOM,ATOM,MSTM,
ATom_SF6_PECD,,sf6,ppt,ATOM,ATOM,MSTM,q
ATom_SF6e_PECD,,d_sf6,ppt,ATOM,ATOM,MSTM,
ATom_SF6_UCATS,,sf6,ppt,ATOM,ATOM,MSTM,q
ATom_SF6e_UCATS,,d_sf6,ppt,ATOM,ATOM,MSTM,
ATom_O3_CL,,o3,ppbv,ATOM,ATOM,MSTM,
ATom_O3_CL_2sigma,,o3,ppbv,ATOM,ATOM,MSTM,
ATom_O3_GMI,,o3,ppbv,ATOM,ATOM,MSTM,
ATom_O3_UCATS,,o3,ppb,ATOM,ATOM,MSTM,
ATom_O3e_UCATS,,d_o3,ppb,ATOM,ATOM,MSTM,
HIPPO_CH4_CCG,,ch4,ppb,HIPPO,HIPPO,MSTM,h
HIPPO_CH4_P,,ch4,ppbv,HIPPO,HIPPO,MSTM,h
HIPPO_CH4e_P,,d_ch4,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_CH4_QCLS,,ch4,ppbv,HIPPO,HIPPO,MSTM,h
HIPPO_CH4_UGC,,ch4,ppbv,HIPPO,HIPPO,MSTM,h
HIPPO_CH4e_UGC,,d_ch4,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_CO2_AO2,,co2,ppm,HIPPO,HIPPO,MSTM,h
HIPPO_CO2_CCG,,co2,ppm,HIPPO,HIPPO,MSTM,h
HIPPO_CO2_OMS,,co2,ppmv,HIPPO,HIPPO,MSTM,h
HIPPO_CO2_QCLS,,co2,ppmv,HIPPO,HIPPO,MSTM,h
HIPPO_N2O_CCG,,n2o,ppb,HIPPO,HIPPO,MSTM,s
HIPPO_N2O_P,,n2o,ppbv,HIPPO,HIPPO,MSTM,s
HIPPO_N2Oe_P,,d_n2o,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_N2O_QCLS,,n2o,ppbv,HIPPO,HIPPO,MSTM,s
HIPPO_N2O_UGC,,n2o,ppbv,HIPPO,HIPPO,MSTM,s
HIPPO_N2Oe_UGC,,d_n2o,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_O3_UO3,,o3,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_O3e_UO3,,d_o3,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_O3_ppb,,o3,ppbv,HIPPO,HIPPO,MSTM,
HIPPO_SF6_CCG,,sf6,ppt,HIPPO,HIPPO,MSTM,q
HIPPO_SF6_P,,sf6,pptv,HIPPO,HIPPO,MSTM,q
HIPPO_SF6e_P,,d_sf6,pptv,HIPPO,HIPPO,MSTM,
HIPPO_SF6_UGC,,sf6,pptv,HIPPO,HIPPO,MSTM,q
HIPPO_SF6e_UCG,,d_sf6,pptv,HIPPO,HIPPO,MSTM,
PHILEAS_CH4,preliminary,ch4,ppbv,PHL,HALO,MSTM,h
PHILEAS_N2O,preliminary,n2o,ppbv,PHL,HALO,MSTM,s
PHILEAS_O3,FAIRO O3,o3,ppbv,PHL,HALO,MSTM,
POLSTRACC_CH4,TRIHOP,ch4,ppb,PGS,HALO,MSTM,h
POLSTRACC_N2O,TRIHOP,n2o,ppb,PGS,HALO,MSTM,s
POLSTRACC_O3,FAIRO O3,o3,ppb,PGS,HALO,MSTM,
POLSTRACC_O3.1,FAIROCl O3,o3,ppb,PGS,HALO,MSTM,
POLSTRACC_SF6,GHOST_ECD,sf6,ppt,PGS,HALO,MSTM,q
SouthTRAC_CH4,UMAQS,ch4,ppb,STHR,HALO,MSTM,h
SouthTRAC_CO2,UMAQS,co2,ppm,STHR,HALO,MSTM,h
SouthTRAC_CO2.1,HAGAR,co2,ppm,STHR,HALO,MSTM,h
SouthTRAC_CO2_err,HAGAR,d_co2,ppm,STHR,HALO,MSTM,
SouthTRAC_N2O,UMAQS,n2o,ppb,STHR,HALO,MSTM,s
SouthTRAC_O3,FAIRO,o3,ppb,STHR,HALO,MSTM,
SouthTRAC_O3.1,FAIROCl O3,o3,ppb,STHR,HALO,MSTM,
SouthTRAC_O3.2,GLORIA,o3,ppb,STHR,HALO,MSTM,
SouthTRAC_SF6,GHOST_ECD,sf6,ppt,STHR,HALO,MSTM,q
SouthTRAC_SF6.1,HAGAR,sf6,ppt,STHR,HALO,MSTM,q
StratoClim_COLD:N2O,COLD,n2o,ppb,StratoClim,Geophysica,MSTM,s
StratoClim_FOZAN:O3,FOZAN,o3,ppbv,StratoClim,Geophysica,MSTM,
StratoClim_HAGAR:CH4,HAGAR,ch4,ppb,StratoClim,Geophysica,MSTM,h
StratoClim_HAGAR:CO2,HAGAR,co2,ppm,StratoClim,Geophysica,MSTM,h
StratoClim_HAGAR:CO2_ERR,HAGAR,d_co2,ppm,StratoClim,Geophysica,MSTM,
StratoClim_HAGAR:N2O,HAGAR,n2o,ppb,StratoClim,Geophysica,MSTM,s
StratoClim_HAGAR:SF6,HAGAR,sf6,ppt,StratoClim,Geophysica,MSTM,q
WISE_CH4,HAGAR,ch4,ppb,WISE,HALO,MSTM,h
WISE_CO2,HAGAR,co2,ppm,WISE,HALO,MSTM,h
WISE_CO2_err,HAGAR,d_co2,ppm,WISE,HALO,MSTM,
WISE_N2O,UMAQS,n2o,ppb,WISE,HALO,MSTM,s
WISE_O3,FAIRO,o3,ppb,WISE,HALO,MSTM,
WISE_O3.1,FAIROCl O3,o3,ppb,WISE,HALO,MSTM,
WISE_SF6,GHOST_ECD,sf6,ppt,WISE,HALO,MSTM,q
WISE_SF6.1,HAGAR,sf6,ppt,WISE,HALO,MSTM,q
O3_ppb,O3 from partial pressure and pressure; WOUDC,o3,ppb,WOUDC,WOUDC,MSMT,
O3_mPa,WOUDC partial Ozone pressure,o3,mPa,WOUDC,WOUDC,MSMT,
