col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
ERA5_D_THETA_1_5_Second,Potential temperature distance to secondary 1.5 PVU surface from ERA5,K,ERA5_calc,pt,,pt,dyn,TRUE,ERA5,1.5,,ERA5_THETA,ERA5_THETA_1_5_Second,1
ERA5_D_THETA_2_0,Potential temperature distance to 2.0 PVU surface from ERA5,K,ERA5_calc,pt,,pt,dyn,TRUE,ERA5,2,,ERA5_THETA,ERA5_THETA_2_0,0
ERA5_D_THETA_2_0_Second,Potential temperature distance to secondary 2.0 PVU surface from ERA5,K,ERA5_calc,pt,,pt,dyn,TRUE,ERA5,2,,ERA5_THETA,ERA5_THETA_2_0_Second,1
ERA5_D_THETA_3_5,Potential temperature distance to 3.5 PVU surface from ERA5,K,ERA5_calc,pt,,pt,dyn,TRUE,ERA5,3.5,,ERA5_THETA,ERA5_dynTP_THETA_3_5,0
ERA5_D_THETA_3_5_Second,Potential temperature distance to secondary 3.5 PVU surface from ERA5,K,ERA5_calc,pt,,pt,dyn,TRUE,ERA5,3.5,,ERA5_THETA,ERA5_dynTP_THETA_3_5_Second,1
ERA5_D_THETA_thermTP,THETA-Distance to local lapse rate tropopause (ERA5),K,ERA5_calc,pt,,pt,therm,TRUE,ERA5,,,ERA5_THETA,ERA5_thermTP_THETA,0
ERA5_D_THETA_thermTP_Second,THETA-Distance to secondary lapse rate tropopause (ERA5),K,ERA5_calc,pt,,pt,therm,TRUE,ERA5,,,ERA5_THETA,ERA5_thermTP_THETA_Second,1
ERA5_D_TROP1_PRESS,Pressure distance to lapse rate tropopause from ERA5,hPa,ERA5_calc,p,,p,therm,TRUE,ERA5,,,ERA5_PRESS,ERA5_TROP1_PRESS,0
ERA5_D_TROP1_THETA,Potential temperature distance to lapse rate tropopause from ERA5,K,ERA5_calc,pt,,pt,therm,TRUE,ERA5,,,ERA5_THETA,ERA5_TROP1_THETA,0
ERA5_D_Z_TROP1,Height difference to lapse rate tropopause (ERA5),km,ERA5_calc,z,,z,therm,TRUE,ERA5,,,ERA5_HEIGHT,ERA5_TROP1_Z,0
ERA5_dynTP_PHI_1_5,Geopotential of local 1.5 PVU surface (ERA5),m2s-2,ERA5,z,,z,dyn,FALSE,ERA5,1.5,,,,0
ERA5_dynTP_PHI_1_5_Second,Geopotential of secondary local 1.5 PVU surface (ERA5),m2s-2,ERA5,z,,z,dyn,FALSE,ERA5,1.5,,,,1
ERA5_dynTP_PHI_2_0,Geopotential of local 2.0 PVU surface (ERA5),m2s-2,ERA5,z,,z,dyn,FALSE,ERA5,2,,,,0
ERA5_dynTP_PHI_2_0_Second,Geopotential of secondary local 2.0 PVU surface (ERA5),m2s-2,ERA5,z,,z,dyn,FALSE,ERA5,2,,,,1
