col_name,long_name,unit,ID,vcoord,hcoord,var,tp_def,rel_to_tp,model,pvu,crit,var1,var2,tp_order
tpress,track pressure,hPa,EMAC,p,,,,FALSE,EMAC,,,,,
tps,track surface pressure,hPa,EMAC,,,p,,,EMAC,,,,,
tracer_gp_N2O_at_fl,Pseudo coord: tracer GP N2O,mol mol-1,EMAC,mxr,,,chem,FALSE,EMAC,,n2o,,,0
TRIHOP_N2O,Pseudo coord: Nitrous oxide from TRIHOP [ppb - inferred],ppb,TRIHOP,mxr,,,chem,FALSE,MSMT,,n2o,,,0
trop1_d_theta,Potential temperature difference between lapse rate tropopause and flight track (ERA5) ,K,ERA5_calc,pz,,,therm,TRUE,ERA5,,,theta_K,trop1_theta,0
trop1_d_z,Height difference between lapse rate tropopause and flight track (ERA5) ,km,ERA5_calc,z,,,therm,TRUE,ERA5,,,height_km,trop1_z,0
trop1_theta,Potential temperature of local lapse rate tropopause (ERA5),K,ERA5,pt,,,therm,FALSE,ERA5,,,,,0
trop1_z,Height of local lapse rate tropopause (ERA5),km,ERA5,z,,,therm,FALSE,ERA5,,,,,0
trop2_theta,Potential temperature of secondary local lapse rate tropopause (ERA5),K,ERA5,pt,,,therm,FALSE,ERA5,,,,,1
trop2_z,Height of secondary local lapse rate tropopause (ERA5),km,ERA5,z,,,therm,FALSE,ERA5,,,,,1
tropop_cpt,pressure at cold point,hPa,EMAC,p,,,cpt,FALSE,EMAC,,,,,0
tropop_cpt_i,cold point level index,level,EMAC,lev,,,cpt,FALSE,EMAC,,,,,0
tropop_pblh_i,planetary boundary layer index,level,EMAC,lev,,,,FALSE,EMAC,,,,,
tropop_pblhRi_i,planetary boundary layer index,level,EMAC,lev,,,,FALSE,EMAC,,,,,
tropop_PV,potential vorticity,PVU,EMAC,,,pv,,FALSE,EMAC,,,,,
tropop_PV_at_fl,potential vorticity at current flight level,PVU,EMAC,,,pv,,FALSE,EMAC,,,,,
tropop_slp,sea-level pressure,hPa,EMAC,,,p,,,EMAC,,,,,
tropop_tp,tropopause pressure,hPa,EMAC,p,,,combo,FALSE,EMAC,,,,,0
tropop_tp_f,fract. of TP box in trop.,,EMAC,,,frac,combo,FALSE,EMAC,,,,,0
tropop_tp_i,tropopause level index,level,EMAC,lev,,,combo,FALSE,EMAC,,,,,0
tropop_tp_PV,PV tropopause pressure,hPa,EMAC,p,,,dyn,FALSE,EMAC,3.5,,,,0
tropop_tp_PV_f,fract. of PV-TP box in trop.,%,EMAC,,,frac,dyn,FALSE,EMAC,3.5,,,,0
tropop_tp_PV_i,PV tropopause level index,level,EMAC,lev,,,dyn,FALSE,EMAC,3.5,,,,0
tropop_tp_WMO,WMO tropopause pressure,hPa,EMAC,p,,,therm,FALSE,EMAC,,,,,0
tropop_tp_WMO_f,fract. of WMO-TP box in trop.,,EMAC,,,frac,therm,FALSE,EMAC,,,,,0
tropop_tp_WMO_i,WMO tropopause level index,level,EMAC,lev,,,therm,FALSE,EMAC,,,,,0
UMAQS_N2O,Pseudo coord: Nitrous oxide from UMAQS [ppb - inferred],ppb,UMAQS,mxr,,,chem,FALSE,MSMT,,n2o,,,0
horWind_m_per_s,Horizontal wind in meters per second,ms-1,,,,horWind,,,MSMT,,,,,
WindDir_degrees,Direction of wind in degrees,deg,,,,WindDir,,,MSMT,,,,,
