DATETIME,year_frac,P,LAT,LON,TH,STRAT_O3,SF6,CFC12,N2O,CO,CH4,CO2,O3
2019-09-06 06:59:10,2019.6794520547944,954.9677124023438,48.08455276489258,11.287393569946289,288.07080078125,False,10.932999610900879,504.5570068359375,NaN,146.73500061035156,NaN,435.6966857910156,NaN
2019-09-06 07:00:10,2019.6794520547944,884.4371337890625,48.07169723510742,11.33687686920166,291.63836669921875,False,10.501999855041504,500.3269958496094,NaN,131.13400268554688,NaN,407.1310119628906,NaN
2019-09-06 07:01:10,2019.6794520547944,839.8778686523438,48.0233154296875,11.309364318847656,292.9359436035156,False,10.503999710083008,501.2900085449219,NaN,117.74800109863281,NaN,403.7860412597656,38.50666427612305
2019-09-06 07:02:10,2019.6794520547944,741.43359375,47.99755859375,11.21774959564209,297.069091796875,False,10.133000373840332,500.48699951171875,NaN,113.2199935913086,NaN,398.6990051269531,44.55999755859375
2019-09-06 07:03:10,2019.6794520547944,675.8200073242188,47.96763229370117,11.113116264343262,303.3432922363281,False,10.36400032043457,496.8550109863281,NaN,102.78599548339844,NaN,404.260009765625,49.31333541870117
2019-09-06 07:04:10,2019.6794520547944,613.6135864257812,47.93547439575195,11.00075912475586,306.8397216796875,False,10.47599983215332,501.5050048828125,NaN,94.38600158691406,NaN,402.9630126953125,49.18333435058594
2019-09-06 07:05:10,2019.6794520547944,549.516845703125,47.90163803100586,10.883358001708984,310.3343200683594,False,10.276000022888184,501.36199951171875,NaN,88.31999969482422,NaN,402.62200927734375,50.54666519165039
2019-09-06 07:06:10,2019.6794520547944,499.7266540527344,47.866458892822266,10.762065887451172,312.8000793457031,False,10.260000228881836,502.1730041503906,NaN,89.59800720214844,NaN,403.73199462890625,47.24333190917969
2019-09-06 07:07:10,2019.6794520547944,453.3736267089844,47.84343719482422,10.62997817993164,315.651123046875,False,10.342000007629395,501.25,NaN,96.20100402832031,NaN,403.3030090332031,47.95333480834961
2019-09-06 07:08:10,2019.6794520547944,409.57391357421875,47.82721710205078,10.49068546295166,317.9942321777344,False,10.27299976348877,503.239013671875,NaN,101.5739974975586,NaN,403.3879699707031,51.073333740234375
2019-09-06 07:10:20,2019.6794520547944,345.8077392578125,47.789878845214844,10.173727035522461,320.5649108886719,False,10.33899974822998,505.40301513671875,NaN,89.35600280761719,NaN,403.39501953125,53.584999084472656
2019-09-06 07:11:20,2019.6794520547944,320.2557067871094,47.77163314819336,10.021897315979004,321.0091552734375,False,10.121000289916992,502.32598876953125,NaN,88.48300170898438,NaN,402.2149963378906,51.54999923706055
2019-09-06 07:12:20,2019.6794520547944,301.71331787109375,47.752864837646484,9.864811897277832,322.45037841796875,False,10.279000282287598,504.7950134277344,NaN,101.88499450683594,NaN,403.6729736328125,50.80500030517578
2019-09-06 07:13:20,2019.6794520547944,287.7792663574219,47.73343276977539,9.703852653503418,322.4530334472656,False,10.220000267028809,503.49798583984375,NaN,109.34199523925781,NaN,403.55499267578125,51.10499954223633
2019-09-06 07:14:20,2019.6794520547944,280.7936096191406,47.71168899536133,9.542452812194824,322.52081298828125,False,10.26200008392334,501.4200134277344,NaN,108.76799011230469,NaN,403.3789978027344,50.96500015258789
2019-09-06 07:15:20,2019.6794520547944,267.85882568359375,47.67144775390625,9.389491081237793,323.2275390625,True,10.053999900817871,488.2829895019531,NaN,99.2959976196289,NaN,404.5079650878906,89.57499694824219
2019-09-06 07:16:20,2019.6794520547944,260.0518493652344,47.63113784790039,9.2376708984375,324.7091369628906,True,9.786999702453613,484.3550109863281,NaN,89.06499481201172,NaN,404.6500244140625,114.4949951171875
2019-09-06 07:17:20,2019.6794520547944,248.08456420898438,47.59098434448242,9.086648941040039,326.1589660644531,True,9.741000175476074,477.70098876953125,NaN,92.91799926757812,NaN,405.4800109863281,107.84500122070312
2019-09-06 07:18:20,2019.6794520547944,236.44020080566406,47.54960250854492,8.932470321655273,327.1632080078125,True,10.253999710083008,500.510009765625,NaN,92.87300109863281,NaN,405.40704345703125,159.3000030517578
2019-09-06 07:21:20,2019.6794520547944,206.48959350585938,47.42000961303711,8.45630168914795,344.7945251464844,True,9.661999702453613,484.3330078125,NaN,30.2189998626709,NaN,408.7919921875,351.78497314453125
2019-09-06 07:22:20,2019.6794520547944,204.78695678710938,47.37446975708008,8.291028022766113,345.3639831542969,True,9.552000045776367,482.40399169921875,NaN,28.60800552368164,NaN,408.80999755859375,356.1199951171875
2019-09-06 07:23:20,2019.6794520547944,202.12611389160156,47.32658767700195,8.118802070617676,349.5850524902344,True,9.755000114440918,482.72601318359375,NaN,26.47000503540039,NaN,408.7289733886719,360.32501220703125
2019-09-06 07:24:20,2019.6794520547944,189.255859375,47.27577590942383,7.945655345916748,356.36273193359375,True,9.710000038146973,482.2099914550781,NaN,26.62900161743164,NaN,408.7850036621094,362.43499755859375
2019-09-06 07:25:20,2019.6794520547944,182.8639678955078,47.20949172973633,7.791360855102539,361.41070556640625,True,9.4350004196167,467.3370056152344,NaN,26.952999114990234,NaN,408.9649963378906,404.0
2019-09-06 07:26:20,2019.6794520547944,178.46421813964844,47.139957427978516,7.639088153839111,363.2993469238281,True,9.510000228881836,464.1730041503906,NaN,29.315998077392578,NaN,409.24700927734375,400.0299987792969
2019-09-06 07:27:20,2019.6794520547944,174.12466430664062,47.07002639770508,7.486138820648193,364.6268005371094,True,9.75100040435791,483.84100341796875,NaN,28.791000366210938,NaN,409.8089294433594,395.71002197265625
