DATETIME,year_frac,P,LAT,LON,TH,STRAT_O3,HFC125,HFC134a,H1211,HCFC22,N2O,CO,CH4,CO2,O3
2019-09-06 07:01:40,2019.6794520547944,793.1595540364583,48.01166305541992,11.260117467244466,295.1821024576823,0.0,38.35300064086914,120.93399861653646,3.4959998448689777,258.47503255208335,NaN,116.3792007446289,NaN,403.1386027018229,41.53288904825846
2019-09-06 07:14:50,2019.6794520547944,273.69297218322754,47.68709468841553,9.45388513803482,322.98383140563965,0.375,35.394997119903564,117.42600917816162,3.358000248670578,262.0740051269531,NaN,101.18981122970581,NaN,404.1568775177002,74.05749893188477
2019-09-06 07:22:40,2019.6794520547944,203.59466349283855,47.35810241699219,8.23272279103597,347.3539978027344,1.0,29.020000712076822,102.34600067138672,2.9750001430511475,243.35000406901042,NaN,27.88826738993327,NaN,408.8277893066406,358.3295633951823
2019-09-06 07:30:10,2019.6794520547944,163.37507152557373,46.86438226699829,7.043899178504944,370.46861457824707,1.0,28.854000210762024,102.51899671554565,2.9799997955560684,243.04397869110107,316.53107833862305,25.323500633239746,1792.8734130859375,409.4721965789795,418.66239738464355
2019-09-06 07:37:30,2019.6794520547944,161.80768585205078,46.341248750686646,5.949060291051865,370.48006439208984,1.0,29.278995990753174,101.99099063873291,3.110000103712082,244.1219940185547,319.67951529366627,26.724785940987722,1806.9006522042412,409.95814514160156,373.8708305358887
2019-09-06 07:44:50,2019.6794520547944,161.80480861663818,45.814430236816406,4.855751574039459,371.1974411010742,1.0,28.94199764728546,102.30799198150635,3.0790002048015594,244.0489959716797,319.18081283569336,26.65375053882599,1804.6129455566406,409.9374408721924,379.40499114990234
2019-09-06 07:52:10,2019.6794520547944,161.83310890197754,45.292102575302124,3.787460371851921,367.80425453186035,1.0,29.555999755859375,103.36399841308594,3.135999917984009,244.8030080795288,319.6502494812012,27.91243815422058,1808.8322448730469,409.7715492248535,362.29937171936035
2019-09-06 07:59:30,2019.6794520547944,161.81412506103516,44.76547718048096,2.7508591264486313,366.0229949951172,1.0,28.851001501083374,102.4940037727356,3.1559998989105225,242.6210012435913,319.622127532959,28.621687531471252,1807.6992263793945,409.5984306335449,363.20385360717773
2019-09-06 08:07:00,2019.6794520547944,161.823974609375,44.21269022623698,1.7124643087387086,367.3763854980469,1.0,30.082000732421875,100.62700653076172,3.1399998664855957,244.05496215820312,319.10621337890626,27.735000991821288,1805.48076171875,409.54298706054686,373.15700276692706
2019-09-06 08:14:20,2019.6794520547944,161.81831868489584,43.673926798502606,0.6768390734990438,364.8638488769531,1.0,29.143001556396484,102.70399475097656,3.1300003210703533,245.27297973632812,318.4339335123698,26.858866500854493,1801.962548828125,409.6239379882812,375.72099609375
2019-09-06 08:27:40,2019.6794520547944,161.86672871907552,42.879563649495445,-1.3450291713078817,362.1781005859375,1.0,29.868999608357747,102.94300791422526,3.2029995918273926,244.2530069986979,320.8102111816406,28.61193364461263,1813.6031005859375,409.6924641927083,325.9997843424479
2019-09-06 08:35:00,2019.6794520547944,161.84242045084636,42.55036290486654,-2.486350504557292,358.4252115885417,1.0,30.298000462849934,105.01799112955729,3.187000036239624,253.44900410970052,324.5432657877604,36.79213256835938,1837.2645751953125,410.00286661783855,253.15066426595052
2019-09-06 08:42:20,2019.6794520547944,161.74343668619792,42.20924657185872,-3.590692567825317,353.25225219726565,1.0,29.430999755859375,105.04499715169271,3.221999677022298,251.53598225911458,324.7100056966146,39.301265716552734,1838.6681396484375,409.4463317871094,248.10488891601562
2019-09-06 08:49:40,2019.6794520547944,161.7505521774292,41.486499071121216,-4.170535385608673,351.5006523132324,1.0,29.669002294540405,105.46900844573975,3.2020001113414764,249.8030071258545,324.67143058776855,44.88206362724304,1846.2722930908203,408.38949966430664,247.11614322662354
2019-09-06 08:57:10,2019.6794520547944,161.81362609863282,40.497074381510416,-4.280247243245443,351.4853088378906,1.0,29.283001073201497,105.28700205485026,3.1660001277923584,244.86099141438802,323.79273478190106,41.091800181070965,1838.76015625,408.5988728841146,263.2487752278646
2019-09-06 09:04:30,2019.6794520547944,161.85345649719238,39.847251415252686,-4.933384895324707,354.6575355529785,1.0,29.666003704071045,104.41099643707275,3.094999819993973,247.6499948501587,322.6863765716553,36.336124658584595,1829.2974243164062,409.1947498321533,289.6928119659424
2019-09-06 09:11:50,2019.6794520547944,161.82317066192627,39.59791111946106,-6.092603951692581,356.0392723083496,1.0,29.243000030517578,102.86299228668213,3.1410002410411835,243.66500663757324,321.721435546875,34.274571555001394,1821.8408028738838,409.40315900530135,307.52937507629395
2019-09-06 09:19:20,2019.6794520547944,161.70789388020833,39.219783528645834,-7.202418835957845,354.6308125813802,1.0,28.548000462849934,102.04798889160156,3.135999917984009,243.11203002929688,320.48058064778644,33.57950210571289,1815.2887369791667,409.44317626953125,320.2435567220052
2019-09-06 09:26:40,2019.6794520547944,161.74372386932373,38.68465185165405,-8.188419461250305,355.7804317474365,1.0,28.46500027179718,102.06899356842041,3.207999736070633,245.3159942626953,319.99006271362305,32.23893749713898,1811.3528289794922,409.47631645202637,331.30625343322754
2019-09-06 09:40:00,2019.6794520547944,161.72582721710205,37.70069098472595,-9.892416834831238,359.2376651763916,1.0,30.368000149726868,102.35800838470459,3.230999529361725,244.8679962158203,322.0036277770996,34.027812242507935,1821.9531326293945,409.7577438354492,301.1551094055176
